OrderID,OrderDate,Quarter,Region,ProductID,Category,Units,UnitPrice,Revenue
O001,2026-01-08,Q1,North,P101,Office,6,4.50,27.00
O002,2026-02-15,Q1,South,P102,Technology,11,38.00,418.00
O003,2026-03-22,Q1,East,P103,Technology,1,52.00,52.00
O004,2026-04-02,Q2,West,P104,Office,6,24.00,144.00
O005,2026-05-09,Q2,North,P105,School,11,31.50,346.50
O006,2026-06-16,Q2,South,P106,School,4,16.00,64.00
O007,2026-07-23,Q3,East,P101,Office,9,4.50,40.50
O008,2026-08-03,Q3,West,P102,Technology,14,38.00,532.00
O009,2026-09-10,Q3,North,P103,Technology,4,52.00,208.00
O010,2026-10-17,Q4,South,P104,Office,9,24.00,216.00
O011,2026-11-24,Q4,East,P105,School,14,31.50,441.00
O012,2026-12-04,Q4,West,P106,School,7,16.00,112.00
O013,2026-01-11,Q1,North,P101,Office,12,4.50,54.00
O014,2026-02-18,Q1,South,P102,Technology,2,38.00,76.00
O015,2026-03-25,Q1,East,P103,Technology,7,52.00,364.00
O016,2026-04-05,Q2,West,P104,Office,12,24.00,288.00
O017,2026-05-12,Q2,North,P105,School,2,31.50,63.00
O018,2026-06-19,Q2,South,P106,School,10,16.00,160.00
O019,2026-07-26,Q3,East,P101,Office,15,4.50,67.50
O020,2026-08-06,Q3,West,P102,Technology,5,38.00,190.00
O021,2026-09-13,Q3,North,P103,Technology,10,52.00,520.00
O022,2026-10-20,Q4,South,P104,Office,15,24.00,360.00
O023,2026-11-27,Q4,East,P105,School,5,31.50,157.50
O024,2026-12-07,Q4,West,P106,School,13,16.00,208.00
O025,2026-01-14,Q1,North,P101,Office,3,4.50,13.50
O026,2026-02-21,Q1,South,P102,Technology,8,38.00,304.00
O027,2026-03-01,Q1,East,P103,Technology,13,52.00,676.00
O028,2026-04-08,Q2,West,P104,Office,3,24.00,72.00
O029,2026-05-15,Q2,North,P105,School,8,31.50,252.00
O030,2026-06-22,Q2,South,P106,School,1,16.00,16.00
O031,2026-07-02,Q3,East,P101,Office,6,4.50,27.00
O032,2026-08-09,Q3,West,P102,Technology,11,38.00,418.00
O033,2026-09-16,Q3,North,P103,Technology,1,52.00,52.00
O034,2026-10-23,Q4,South,P104,Office,6,24.00,144.00
O035,2026-11-03,Q4,East,P105,School,11,31.50,346.50
O036,2026-12-10,Q4,West,P106,School,4,16.00,64.00
O037,2026-01-17,Q1,North,P101,Office,9,4.50,40.50
O038,2026-02-24,Q1,South,P102,Technology,14,38.00,532.00
O039,2026-03-04,Q1,East,P103,Technology,4,52.00,208.00
O040,2026-04-11,Q2,West,P104,Office,9,24.00,216.00
O041,2026-05-18,Q2,North,P105,School,14,31.50,441.00
O042,2026-06-25,Q2,South,P106,School,7,16.00,112.00
O043,2026-07-05,Q3,East,P101,Office,12,4.50,54.00
O044,2026-08-12,Q3,West,P102,Technology,2,38.00,76.00
O045,2026-09-19,Q3,North,P103,Technology,7,52.00,364.00
O046,2026-10-26,Q4,South,P104,Office,12,24.00,288.00
O047,2026-11-06,Q4,East,P105,School,2,31.50,63.00
O048,2026-12-13,Q4,West,P106,School,10,16.00,160.00
O049,2026-01-20,Q1,North,P101,Office,15,4.50,67.50
O050,2026-02-27,Q1,South,P102,Technology,5,38.00,190.00
